student_id,jurusan,semester_ke,mata_kuliah,sks,nilai,bobot_nilai,kemampuan_laten
S5,Teknik Informatika,5,Kalkulus II,3,B+,3.3,0.905
S5,Teknik Informatika,5,Bahasa Inggris,2,A,4.0,0.905
S5,Teknik Informatika,5,Pancasila,2,B+,3.3,0.905
S5,Teknik Informatika,6,Basis Data,3,A-,3.7,0.905
S5,Teknik Informatika,6,Grafika Komputer,3,B+,3.3,0.905
S5,Teknik Informatika,6,Bahasa Indonesia,2,A,4.0,0.905
S5,Teknik Informatika,6,Algoritma dan Pemrograman,4,A-,3.7,0.905
S5,Teknik Informatika,6,Agama,2,A,4.0,0.905
S5,Teknik Informatika,6,Kewirausahaan,2,A-,3.7,0.905
S5,Teknik Informatika,6,Skripsi,6,A,4.0,0.905
S5,Teknik Informatika,7,Skripsi,6,A,4.0,0.905
S5,Teknik Informatika,7,Kewarganegaraan,2,A,4.0,0.905
S5,Teknik Informatika,7,Kimia Dasar,3,B,3.0,0.905
S5,Teknik Informatika,7,Kalkulus III,3,A-,3.7,0.905
S5,Teknik Informatika,7,Kerja Praktik,3,A-,3.7,0.905
S6,Teknik Mesin,1,Kewarganegaraan,2,A-,3.7,0.441
S6,Teknik Mesin,1,Bahasa Inggris,2,A,4.0,0.441
S6,Teknik Mesin,1,Agama,2,A,4.0,0.441
S6,Teknik Mesin,1,Kimia Dasar,3,B,3.0,0.441
S6,Teknik Mesin,1,Bahasa Inggris,2,A,4.0,0.441
S6,Teknik Mesin,2,Statistika Inferensial,3,B-,2.7,0.441
S6,Teknik Mesin,2,Bahasa Indonesia,2,A,4.0,0.441
S6,Teknik Mesin,2,Fisika Dasar II,3,C+,2.3,0.441
S6,Teknik Mesin,2,Fisika Dasar I,3,A-,3.7,0.441
S6,Teknik Mesin,2,Fisika,3,B,3.0,0.441
S6,Teknik Mesin,2,Kewirausahaan,2,A,4.0,0.441
S6,Teknik Mesin,3,Kimia Organik,3,B+,3.3,0.441
S6,Teknik Mesin,3,Kalkulus III,3,B+,3.3,0.441
S6,Teknik Mesin,3,Metodologi Penelitian,2,A-,3.7,0.441
S6,Teknik Mesin,3,Skripsi,6,A,4.0,0.441
S6,Teknik Mesin,3,Seminar,1,B+,3.3,0.441
S6,Teknik Mesin,3,Kalkulus II,3,B+,3.3,0.441
S6,Teknik Mesin,4,Kewarganegaraan,2,A-,3.7,0.441
S6,Teknik Mesin,4,Bahasa Indonesia,2,A,4.0,0.441
S6,Teknik Mesin,4,Statistika,3,B-,2.7,0.441
S6,Teknik Mesin,4,Kewirausahaan,2,B,3.0,0.441
S6,Teknik Mesin,4,Pancasila,2,A-,3.7,0.441
S6,Teknik Mesin,4,Aljabar Linear,3,C+,2.3,0.441
S6,Teknik Mesin,4,Pancasila,2,B+,3.3,0.441
S6,Teknik Mesin,5,Pancasila,2,A-,3.7,0.441
S6,Teknik Mesin,5,Kalkulus I,3,A,4.0,0.441
S6,Teknik Mesin,5,Kerja Praktik,3,A,4.0,0.441
S6,Teknik Mesin,5,Etika Profesi,2,A-,3.7,0.441
S6,Teknik Mesin,5,Matematika Diskrit,3,B-,2.7,0.441
S7,Manajemen,1,Statistika Inferensial,3,C+,2.3,0.454
S7,Manajemen,1,Bahasa Indonesia,2,A,4.0,0.454
S7,Manajemen,1,Etika Profesi,2,A,4.0,0.454
S7,Manajemen,1,Kerja Praktik,3,A,4.0,0.454
S7,Manajemen,1,Matematika Diskrit,3,B,3.0,0.454
S7,Manajemen,1,Perilaku Organisasi,3,A-,3.7,0.454
S7,Manajemen,2,Statistika,3,B-,2.7,0.454
S7,Manajemen,2,Pancasila,2,A,4.0,0.454
S7,Manajemen,2,Akuntansi Keuangan,3,B+,3.3,0.454
S7,Manajemen,2,Kewarganegaraan,2,A,4.0,0.454
S7,Manajemen,2,Kewirausahaan,2,A-,3.7,0.454
S7,Manajemen,2,Manajemen,3,C+,2.3,0.454
S7,Manajemen,2,Bahasa Indonesia,2,A,4.0,0.454
S7,Manajemen,3,Bahasa Indonesia,2,A,4.0,0.454
S7,Manajemen,3,Bahasa Inggris,2,A,4.0,0.454
S7,Manajemen,3,Aljabar Linear,3,B+,3.3,0.454
S7,Manajemen,3,Metodologi Penelitian,2,A-,3.7,0.454
S7,Manajemen,3,Skripsi,6,B+,3.3,0.454
S7,Manajemen,3,Seminar,1,A,4.0,0.454
S7,Manajemen,3,Kewarganegaraan,2,A-,3.7,0.454
S7,Manajemen,4,Kewarganegaraan,2,A,4.0,0.454
S7,Manajemen,4,Pengantar Matematika,2,A-,3.7,0.454
S7,Manajemen,4,Pemasaran,3,A,4.0,0.454
S7,Manajemen,4,Kalkulus II,3,C,2.0,0.454
S7,Manajemen,4,Bahasa Inggris,2,A-,3.7,0.454
S7,Manajemen,4,Kalkulus I,3,B,3.0,0.454
S7,Manajemen,5,Agama,2,A,4.0,0.454
S7,Manajemen,5,Kalkulus III,3,B+,3.3,0.454
S7,Manajemen,5,Kewirausahaan,2,A,4.0,0.454
S7,Manajemen,5,Pengantar Ekonomi,3,A-,3.7,0.454
S7,Manajemen,5,Pancasila,2,A,4.0,0.454
S7,Manajemen,5,Agama,2,A-,3.7,0.454
S8,Hukum,1,Bahasa Indonesia,2,A,4.0,0.501
S8,Hukum,1,Kewarganegaraan,2,A,4.0,0.501
S8,Hukum,1,Seminar,1,A,4.0,0.501
S8,Hukum,1,Hukum Perdata,3,A-,3.7,0.501
S8,Hukum,1,Agama,2,A,4.0,0.501
S8,Hukum,1,Hukum Pidana,3,B+,3.3,0.501
S8,Hukum,2,Skripsi,6,A,4.0,0.501
S8,Hukum,2,Etika Profesi,2,A,4.0,0.501
S8,Hukum,2,Kewirausahaan,2,A-,3.7,0.501
S8,Hukum,2,Kewirausahaan,2,A,4.0,0.501
S8,Hukum,2,Bahasa Inggris,2,A,4.0,0.501
S8,Hukum,2,Bahasa Inggris,2,A,4.0,0.501
S8,Hukum,2,Pengantar Ilmu Hukum,3,A-,3.7,0.501
S8,Hukum,3,Pengantar Ilmu Hukum,3,B+,3.3,0.501
S8,Hukum,3,Metodologi Penelitian,2,B+,3.3,0.501
S8,Hukum,3,Bahasa Indonesia,2,A,4.0,0.501
S8,Hukum,3,Kerja Praktik,3,A-,3.7,0.501
S8,Hukum,3,Agama,2,A-,3.7,0.501
S8,Hukum,4,Pancasila,2,A-,3.7,0.501
S8,Hukum,4,Kewarganegaraan,2,A,4.0,0.501
S9,Sistem Informasi,1,Sistem Operasi,3,B,3.0,0.565
S9,Sistem Informasi,1,Fisika,3,A,4.0,0.565
S9,Sistem Informasi,1,Pemrograman Berorientasi Objek,3,B-,2.7,0.565
S9,Sistem Informasi,1,Pancasila,2,A,4.0,0.565
S9,Sistem Informasi,1,Kecerdasan Buatan,3,A-,3.7,0.565
S9,Sistem Informasi,1,Bahasa Indonesia,2,A-,3.7,0.565
S9,Sistem Informasi,2,Kerja Praktik,3,A,4.0,0.565
S9,Sistem Informasi,2,Jaringan Komputer,3,B-,2.7,0.565
S9,Sistem Informasi,2,Matematika Diskrit,3,B-,2.7,0.565
S9,Sistem Informasi,2,Basis Data,3,B-,2.7,0.565
S9,Sistem Informasi,2,Struktur Data,3,B-,2.7,0.565
S9,Sistem Informasi,2,Pembelajaran Mesin,3,B,3.0,0.565
S9,Sistem Informasi,2,Fisika Dasar II,3,A,4.0,0.565
S9,Sistem Informasi,3,Fisika Dasar II,3,B+,3.3,0.565
S9,Sistem Informasi,3,Kalkulus I,3,A,4.0,0.565
S9,Sistem Informasi,3,Pemrograman Web,3,A-,3.7,0.565
S9,Sistem Informasi,3,Etika Profesi,2,A,4.0,0.565
S9,Sistem Informasi,3,Kewirausahaan,2,A-,3.7,0.565
S9,Sistem Informasi,4,Statistika,3,B+,3.3,0.565
S9,Sistem Informasi,4,Kalkulus III,3,B,3.0,0.565
S9,Sistem Informasi,4,Algoritma dan Pemrograman,4,A,4.0,0.565
S9,Sistem Informasi,4,Kewirausahaan,2,B+,3.3,0.565
S9,Sistem Informasi,4,Fisika Dasar I,3,A,4.0,0.565
S9,Sistem Informasi,4,Statistika Inferensial,3,C+,2.3,0.565
S9,Sistem Informasi,4,Pancasila,2,A-,3.7,0.565
S9,Sistem Informasi,5,Pancasila,2,A-,3.7,0.565
S9,Sistem Informasi,5,Aljabar Linear,3,B+,3.3,0.565
S9,Sistem Informasi,5,Kimia Dasar,3,A,4.0,0.565
S9,Sistem Informasi,5,Bahasa Inggris,2,B+,3.3,0.565
S9,Sistem Informasi,5,Kalkulus II,3,B+,3.3,0.565
S9,Sistem Informasi,5,Metodologi Penelitian,2,B+,3.3,0.565
S9,Sistem Informasi,6,Pemrograman Mobile,3,B,3.0,0.565
S9,Sistem Informasi,6,Kewarganegaraan,2,B+,3.3,0.565
S9,Sistem Informasi,6,Agama,2,A,4.0,0.565
S9,Sistem Informasi,6,Grafika Komputer,3,B,3.0,0.565
S9,Sistem Informasi,6,Skripsi,6,B+,3.3,0.565
S9,Sistem Informasi,7,Kimia Organik,3,B+,3.3,0.565
S9,Sistem Informasi,7,Seminar,1,A,4.0,0.565
S9,Sistem Informasi,7,Rekayasa Perangkat Lunak,3,B,3.0,0.565
S9,Sistem Informasi,7,Bahasa Inggris,2,A,4.0,0.565
S9,Sistem Informasi,7,Agama,2,A-,3.7,0.565
S10,Farmasi,1,Kewarganegaraan,2,A-,3.7,0.441
S10,Farmasi,1,Bahasa Indonesia,2,A-,3.7,0.441
S10,Farmasi,1,Skripsi,6,B,3.0,0.441
S10,Farmasi,1,Kimia Dasar,3,B+,3.3,0.441
S10,Farmasi,1,Mikrobiologi,3,B+,3.3,0.441
S10,Farmasi,1,Kerja Praktik,3,A,4.0,0.441
S10,Farmasi,1,Seminar,1,A,4.0,0.441
S10,Farmasi,2,Seminar,1,A,4.0,0.441
S10,Farmasi,2,Bahasa Inggris,2,A,4.0,0.441
S10,Farmasi,2,Genetika,3,B-,2.7,0.441
S10,Farmasi,2,Kimia Organik,3,A-,3.7,0.441
S10,Farmasi,2,Pancasila,2,A,4.0,0.441
S10,Farmasi,2,Agama,2,A-,3.7,0.441
S10,Farmasi,3,Kewirausahaan,2,A-,3.7,0.441
S10,Farmasi,3,Kewarganegaraan,2,B+,3.3,0.441
S10,Farmasi,3,Bahasa Inggris,2,A-,3.7,0.441
S10,Farmasi,3,Agama,2,A,4.0,0.441
S10,Farmasi,3,Fisiologi,4,A,4.0,0.441
S10,Farmasi,4,Pancasila,2,A-,3.7,0.441
S10,Farmasi,4,Biokimia,3,C+,2.3,0.441
S10,Farmasi,4,Anatomi,4,C+,2.3,0.441
S10,Farmasi,4,Metodologi Penelitian,2,A-,3.7,0.441
S10,Farmasi,4,Bahasa Indonesia,2,A-,3.7,0.441
S10,Farmasi,4,Farmakologi,4,C+,2.3,0.441
S10,Farmasi,5,Etika Profesi,2,A,4.0,0.441
S11,Biologi,1,Kerja Praktik,3,A,4.0,0.941
S11,Biologi,1,Kewarganegaraan,2,A,4.0,0.941
S11,Biologi,1,Pengantar Matematika,2,A,4.0,0.941
S11,Biologi,1,Agama,2,A,4.0,0.941
S11,Biologi,1,Matematika Diskrit,3,A,4.0,0.941
S11,Biologi,1,Mikrobiologi,3,B,3.0,0.941
S11,Biologi,2,Seminar,1,A,4.0,0.941
S11,Biologi,2,Kewirausahaan,2,A-,3.7,0.941
S11,Biologi,2,Bahasa Indonesia,2,A,4.0,0.941
S11,Biologi,2,Etika Profesi,2,A,4.0,0.941
S11,Biologi,2,Agama,2,A-,3.7,0.941
S11,Biologi,2,Kimia Dasar,3,A-,3.7,0.941
S11,Biologi,2,Bahasa Indonesia,2,A,4.0,0.941
S11,Biologi,3,Bahasa Indonesia,2,B+,3.3,0.941
S11,Biologi,3,Kalkulus III,3,B+,3.3,0.941
S11,Biologi,3,Statistika Inferensial,3,C+,2.3,0.941
S11,Biologi,3,Metodologi Penelitian,2,A,4.0,0.941
S11,Biologi,3,Kewarganegaraan,2,A,4.0,0.941
S11,Biologi,3,Pancasila,2,A-,3.7,0.941
S11,Biologi,4,Kewirausahaan,2,A,4.0,0.941
S11,Biologi,4,Pancasila,2,A,4.0,0.941
S11,Biologi,4,Kalkulus II,3,A,4.0,0.941
S11,Biologi,4,Kalkulus I,3,B-,2.7,0.941
S11,Biologi,4,Kimia Organik,3,A,4.0,0.941
S11,Biologi,4,Bahasa Inggris,2,B,3.0,0.941
S11,Biologi,4,Statistika,3,A,4.0,0.941
S11,Biologi,5,Statistika,3,A,4.0,0.941
S11,Biologi,5,Bahasa Inggris,2,B,3.0,0.941
S11,Biologi,5,Aljabar Linear,3,A-,3.7,0.941
S11,Biologi,5,Genetika,3,A-,3.7,0.941
S11,Biologi,5,Skripsi,6,A,4.0,0.941
S12,Teknik Elektro,1,Kewirausahaan,2,A,4.0,0.477
S12,Teknik Elektro,1,Fisika Dasar II,3,A-,3.7,0.477
S12,Teknik Elektro,1,Kewirausahaan,2,B+,3.3,0.477
S12,Teknik Elektro,1,Aljabar Linear,3,A,4.0,0.477
S12,Teknik Elektro,1,Pancasila,2,B+,3.3,0.477
S12,Teknik Elektro,1,Etika Profesi,2,A,4.0,0.477
S12,Teknik Elektro,1,Bahasa Indonesia,2,B,3.0,0.477
S12,Teknik Elektro,2,Bahasa Indonesia,2,A,4.0,0.477
S12,Teknik Elektro,2,Metodologi Penelitian,2,B+,3.3,0.477
S12,Teknik Elektro,2,Statistika Inferensial,3,A-,3.7,0.477
S12,Teknik Elektro,2,Bahasa Indonesia,2,A,4.0,0.477
S12,Teknik Elektro,2,Fisika,3,A,4.0,0.477
S12,Teknik Elektro,2,Statistika,3,B+,3.3,0.477
S12,Teknik Elektro,2,Kewarganegaraan,2,B+,3.3,0.477
S13,Teknik Mesin,1,Kewirausahaan,2,A,4.0,0.632
S13,Teknik Mesin,1,Pengantar Matematika,2,A,4.0,0.632
S13,Teknik Mesin,1,Bahasa Inggris,2,B+,3.3,0.632
S13,Teknik Mesin,1,Pancasila,2,A,4.0,0.632
S13,Teknik Mesin,1,Statistika,3,A-,3.7,0.632
S13,Teknik Mesin,1,Agama,2,A,4.0,0.632
S13,Teknik Mesin,2,Matematika Diskrit,3,B-,2.7,0.632
S13,Teknik Mesin,2,Agama,2,A,4.0,0.632
S13,Teknik Mesin,2,Skripsi,6,B,3.0,0.632
S13,Teknik Mesin,2,Bahasa Indonesia,2,A-,3.7,0.632
S13,Teknik Mesin,2,Bahasa Indonesia,2,B+,3.3,0.632
S13,Teknik Mesin,3,Pancasila,2,A,4.0,0.632
S13,Teknik Mesin,3,Metodologi Penelitian,2,B+,3.3,0.632
S13,Teknik Mesin,3,Seminar,1,A,4.0,0.632
S13,Teknik Mesin,3,Fisika,3,B,3.0,0.632
S13,Teknik Mesin,3,Kewarganegaraan,2,A-,3.7,0.632
S13,Teknik Mesin,3,Kalkulus I,3,A-,3.7,0.632
S13,Teknik Mesin,3,Kerja Praktik,3,B,3.0,0.632
S13,Teknik Mesin,4,Kerja Praktik,3,B+,3.3,0.632
S13,Teknik Mesin,4,Kalkulus III,3,B,3.0,0.632
S13,Teknik Mesin,4,Kewarganegaraan,2,B+,3.3,0.632
S13,Teknik Mesin,4,Aljabar Linear,3,B-,2.7,0.632
S13,Teknik Mesin,4,Statistika Inferensial,3,A-,3.7,0.632
S13,Teknik Mesin,5,Kimia Organik,3,B,3.0,0.632
S13,Teknik Mesin,5,Kalkulus II,3,B+,3.3,0.632
S13,Teknik Mesin,5,Kewirausahaan,2,B,3.0,0.632
S13,Teknik Mesin,5,Etika Profesi,2,A-,3.7,0.632
S13,Teknik Mesin,5,Bahasa Inggris,2,B+,3.3,0.632
S14,Manajemen,1,Skripsi,6,B+,3.3,0.431
S14,Manajemen,1,Bahasa Indonesia,2,A,4.0,0.431
S14,Manajemen,1,Etika Profesi,2,A,4.0,0.431
S14,Manajemen,1,Kewirausahaan,2,B+,3.3,0.431
S14,Manajemen,1,Pengantar Matematika,2,A-,3.7,0.431
S14,Manajemen,2,Perilaku Organisasi,3,A,4.0,0.431
S14,Manajemen,2,Kerja Praktik,3,A,4.0,0.431
S14,Manajemen,2,Manajemen,3,A,4.0,0.431
S14,Manajemen,2,Metodologi Penelitian,2,A-,3.7,0.431
S14,Manajemen,2,Kalkulus I,3,A,4.0,0.431
S14,Manajemen,2,Kewarganegaraan,2,A-,3.7,0.431
S14,Manajemen,2,Bahasa Indonesia,2,A,4.0,0.431
S14,Manajemen,3,Bahasa Indonesia,2,A,4.0,0.431
S14,Manajemen,3,Statistika,3,B,3.0,0.431
S14,Manajemen,3,Statistika Inferensial,3,A-,3.7,0.431
S14,Manajemen,3,Bahasa Inggris,2,A-,3.7,0.431
S14,Manajemen,3,Akuntansi Keuangan,3,B+,3.3,0.431
S14,Manajemen,3,Kalkulus II,3,B+,3.3,0.431
S14,Manajemen,3,Bahasa Inggris,2,A,4.0,0.431
S14,Manajemen,4,Bahasa Inggris,2,B+,3.3,0.431
S14,Manajemen,4,Kewirausahaan,2,B+,3.3,0.431
S14,Manajemen,4,Pemasaran,3,A-,3.7,0.431
S14,Manajemen,4,Aljabar Linear,3,C+,2.3,0.431
S14,Manajemen,4,Pancasila,2,A-,3.7,0.431
S15,Ilmu Komunikasi,1,Skripsi,6,B,3.0,0.477
S15,Ilmu Komunikasi,1,Etika Profesi,2,A,4.0,0.477
S15,Ilmu Komunikasi,1,Bahasa Inggris,2,A,4.0,0.477
S15,Ilmu Komunikasi,1,Kewirausahaan,2,A,4.0,0.477
S15,Ilmu Komunikasi,1,Komunikasi Organisasi,3,A,4.0,0.477
S15,Ilmu Komunikasi,1,Pancasila,2,A-,3.7,0.477
S15,Ilmu Komunikasi,1,Pancasila,2,A-,3.7,0.477
S15,Ilmu Komunikasi,2,Pancasila,2,A,4.0,0.477
S15,Ilmu Komunikasi,2,Agama,2,A,4.0,0.477
S15,Ilmu Komunikasi,2,Bahasa Inggris,2,A-,3.7,0.477
S15,Ilmu Komunikasi,2,Agama,2,B+,3.3,0.477
S15,Ilmu Komunikasi,2,Seminar,1,B,3.0,0.477
S15,Ilmu Komunikasi,3,Komunikasi Massa,3,B+,3.3,0.477
S15,Ilmu Komunikasi,3,Perilaku Organisasi,3,B+,3.3,0.477
S15,Ilmu Komunikasi,3,Kewirausahaan,2,A,4.0,0.477
S15,Ilmu Komunikasi,3,Kewarganegaraan,2,A,4.0,0.477
S15,Ilmu Komunikasi,3,Metodologi Penelitian,2,A,4.0,0.477
S15,Ilmu Komunikasi,3,Bahasa Indonesia,2,A,4.0,0.477
S16,Farmasi,1,Kewirausahaan,2,A-,3.7,0.56
S16,Farmasi,1,Kimia Organik,3,C-,1.7,0.56
S16,Farmasi,1,Kewirausahaan,2,B,3.0,0.56
S16,Farmasi,1,Kewarganegaraan,2,A-,3.7,0.56
S16,Farmasi,1,Bahasa Inggris,2,A,4.0,0.56
S16,Farmasi,1,Kimia Dasar,3,B,3.0,0.56
S16,Farmasi,2,Kewarganegaraan,2,A,4.0,0.56
S16,Farmasi,2,Agama,2,A-,3.7,0.56
S16,Farmasi,2,Kerja Praktik,3,A-,3.7,0.56
S16,Farmasi,2,Genetika,3,C+,2.3,0.56
S16,Farmasi,2,Anatomi,4,A,4.0,0.56
S16,Farmasi,2,Skripsi,6,A,4.0,0.56
S16,Farmasi,2,Mikrobiologi,3,B,3.0,0.56
S16,Farmasi,3,Mikrobiologi,3,A,4.0,0.56
S16,Farmasi,3,Etika Profesi,2,A,4.0,0.56
S16,Farmasi,3,Seminar,1,A-,3.7,0.56
S16,Farmasi,3,Farmakologi,4,A,4.0,0.56
